Plant Name,Family,Common Name,Uses,Image File
Luisia tenuifolia Blume,CUCURBITACEAE,Amb-keli (Marathi),"Used in emollient and applied as poultice to boils, abscesses, and tumours.",Luisia_tenuifolia_Blume.jpg
Lumnitzera racemosa Willd.,COMBRETACEAE,Kripa (Beng.),Stem fluid is applied to itches and herpes.,Lumnitzera_racemosa_Willd..jpg
Lupinus albus L.,FABACEAE,Turmas,"Seeds have deobstruent,carminative, and anthelmintic properties.",Lupinus_albus_L..jpg
Lupinus angustifolius L.,FABACEAE,Blue Lupine (Eng.),Seeds yield a fatty oil used in the preparation of glyptals.,Lupinus_angustifolius_L..jpg
Lupinus luteus L.,FABACEAE,Yellow Lupine (Eng.),"Seeds use in deobstruent, carminative, alterative, anthelmintic. Used as an external application to ulcers.",Lupinus_luteus_L..jpg
Luvunga scandens (Roxb.) Buch.-Ham. ex Wight,RUTACEAE,Kakoli (Sans.),Dried fruits used in preparing medicinal oils and dried fruit and roots used in case of scorpion bites.,Luvunga_scandens_Roxb._Buch.-Ham._ex_Wight.jpg
Lychnis coronaria (L.) Desr.,CARYOPHYLLACEAE,Rose Campion (Eng.),Decoction of roots applied for lung and liver complaints and also used for the infraction of lymph glands of the mesentery.,Lychnis_coronaria_L._Desr..jpg
Lycium barbarum L.,SOLANACEAE,Gangro (Mar.),Fresh flowering plant is used as a diuretic in homoeopathy.,Lycium_barbarum_L..jpg
Lycopodium cernuum L.,LYCOPODIACEAE,Kangrem (Lushai),"The decoction of the plant is made into a lotion and it is used in beri-beri, cough and also uneasiness in the chest. The ointment made from the ashes of the plant in vinegar is used for skin eruption.",Lycopodium_cernuum_L..jpg
Lycopodium clavatum L.,LYCOPODIACEAE,Bendarli (Mar.),"It is used as a base for medicated snuff and as acovering for pills to prevent adhesion. Lycopodium is used for dyspepsia, constipation with flatulence, hepatic congestion, and pustular skin eruptions.  For disorders of the chest and urinary passage, and against rheumatism, cramps, and varices it is beneficial.",Lycopodium_clavatum_L..jpg
Lycopus europaeus L.,LAMIACEAE,"Jalnim, Gandamgundu (Kashmir & Punjab)",The plant extracts are useful in the treatment of hyperthyreosis; it inhibits the action of thyrotropic hormone and thyroxin output of thyroid. The plant is having  mild narcotic and astringent properties  and it is used as substitute for quinine. The herb is also employed a as a cooling drug.,Lycopus_europaeus_L..jpg
Lygodium flexuosum (L.) Sw.,LYGODIACEAE,Bhut-raj (Beng.),"The plant is used as  an expectorant. The fresh roots of the plant is applied externally for eczema, rheumatism,  scabies, sprains,  and wounds. Also it is considered to be beneficial for carbuncles.",Lygodium_flexuosum_L._Sw..jpg
Lygodium japonicum (Thunb.) Sw.,LYGODIACEAE,Japanese climbing fern (Eng.),The decoction of vegetative parts and spores ar used as cathartic  and diuretic. The plant is used as expectorant.,Lygodium_japonicum_Thunb._Sw..jpg
Lygodium microphyllum (Cav.) R.Br.,LYGODIACEAE,Curalvallipanna (Mal.),The decoction of the young leaves are given in dysentery; the leaves of the plant is applied as poultice to skin diseases and swellings.,Lygodium_microphyllum_Cav._R.Br..jpg
Lyonia ovalifolia (Wall.) Drude,LYGODIACEAE,Angeri (Nepali),Infusion of young leaves and buds are used for cutaneous troubles; leaves are also insecticidal contain a toxic substance andromedotoxin.,Lyonia_ovalifolia_Wall._Drude.jpg
Macaranga denticulata (Blume) Muell.-Arg.,PROTEACEAE,Burna (Beng.),A red gum-kino is obtained from the tree which contains 10-15% tannin.,Macaranga_denticulata_Blume_Muell.-Arg..jpg
Macaranga indica Wight,EUPHORBIACEAE,Uppila (Mal.),A red gum-kino is obtained from the tree which contains 10-15% tannin.,Macaranga_indica_Wight.jpg
Macaranga peltata (Roxb.) Muell.-Arg.,EUPHORBIACEAE,Chanda (Mar.),For venereal sores the paste of kino is applied for relief.  The bark and leaves decoction employed in vulnerary.,Macaranga_peltata_Roxb._Muell.-Arg..jpg
Madhuca butyracea (Roxb.) J.F.Macbr.,MORACEAE,Phulvara,"Flowers are good source of honey. Nectar from the flowers is used in the preparation of sweet syrup, highly prized in Kumaun. Seeds yield a fat called Phulwa or Phulwara Butter, used as a cooking medium; also employed in the manufacture of margarine and as an adulterant of ghee. Fat burns without smoke or smell and may be used for making candles and as an illuminant. It makes excellent soap and may be mixed with sweet-scented oils for use as hair poma",Madhuca_butyracea_Roxb._J.F.Macbr..jpg
Madhuca longifolia (Koen.) Macbride,SAPOTACEAE,South Indian Mahua (Eng.),Leaves are used in curries. Fruits are edible and anthelmintic,Madhuca_longifolia_Koen._Macbride.jpg
Magnolia grandifolia L.,CAPPARACEAE,"Andachampa, Him champa","Bark is used as tonic, stimulant and diaphoretic.  Applied also for malaria and rheumatism.",Magnolia_grandifolia_L..jpg
Mahonia borealis Takeda,BERBERIDACEAE,Pualeng (Lushai),The roots of the plant contains an alkaloids.,Mahonia_borealis_Takeda.jpg
Mahonia sikkimensis Takeda,BERBERIDACEAE,Chatri (Nepal),An alkaloids is present in the bark of the stem. The berries are consumed and are considered of having diuretic and demulcent properties.,Mahonia_sikkimensis_Takeda.jpg
Majorana hortensis Moench.,BERBERIDACEAE,Murwa,"Leaves and flowering tops yield an essential oil applied to sprain, stiff and paralytic limbs and tooth-ache. Infusion of plant used as a stimulant, sudorific, emmenagogue and galactagogue; also used in hysteria and paralysis.",Majorana_hortensis_Moench..jpg
Malachra capitata L.,LAMIACEAE,Banbhindi (Beng.),"Plant is emollient and pectoral.Root is applied in embrocations for lumbago, rheumatism and as  febrifuge.
Leaves are anthelmintic.",Malachra_capitata_L..jpg
Mallotus philippensis (Lam.) Muell.Arg.,EUPHORBIACEAE,"Kamala, Sindur","The plant is having anthelmintic properties, and it is employed in  cutaneous problems. It is also used as an anti-oxidant with ghee.",Mallotus_philippensis_Lam._Muell.Arg..jpg
Malpighia glabra L.,MALPIGHIACEAE,Barbados Cherry (Eng.),"Fruits used in diarrhoea, dysentery and liver disorders.Fruitrs contain ascorbic acid.",Malpighia_glabra_L..jpg
Malpighia punicifolia L.,MALPIGHIACEAE,Vallari (Tel.),Fruitrs contain ascorbic acid in high concentration.,Malpighia_punicifolia_L..jpg
Malus pumila Mill.,MALPIGHIACEAE,"Seb, Sev",It has anthelmintic and hypnotic properties.,Malus_pumila_Mill..jpg
Malus sylvestris Mill.,ROSACEAE,"Gulkhair, Kunzi",This plant is used in treatment of pulmonary and urinary infections and in external application in case of absecces. Flowers used in mouth wash and gargles.,Malus_sylvestris_Mill..jpg
Malva parvifolia L.,ROSACEAE,Panirak,"Infusion of leaves used as a nerve tonic;decoction taken as a taenicide. Seeds are demulcent,applied for cough and ulcers in the bladder.",Malva_parvifolia_L..jpg
Malva rotundifolia L.,MALVACEAE,Khubasi,"Leaves are used as an emollient and demulcent. Seeds demulcent also used in bronchitis, cough, inflammations of bladder and hemorrhoids",Malva_rotundifolia_L..jpg
Malva sylvestris L.,MALVACEAE,"Gulkhair, Kunzi","Plant is a good source of carotene and calcium; mucilaginous, demulcent, and emollient, used in pulmonary and urinary infections and in external applications for inflammations and abscesses. Flowers, Flores Malvae, used for gargles and mouth washes.",Malva_sylvestris_L..jpg
Malva verticillata L.,MALVACEAE,"Lapha, Napha (Beng.)",Root is used as an emetic in whooping cough. Ash of dried leaves used in scabies.,Malva_verticillata_L..jpg
Malvastrum coromandelianum (L.) Garcke,MALVACEAE,"Kharenti, Chandiri (Mar.)",Used as emollient and resolvent. Decoction given to  cure dysentery. Flowers applied as a pectoral and diaphoretic.,Malvastrum_coromandelianum_L._Garcke.jpg
Mandragora officinarum L.,CLUSIACEAE,Luckmuna (Hindi),"Roots are used to treat belladonna, sedative, hypnotic, mydriatic, anaesthetic.",Mandragora_officinarum_L..jpg
Mangifera indica L.,ANACARDIACEAE,"Am, Amb","Leaves used in diabetes, externally in burns and scalds. Kernel used in diarrhoea, diabetes and menstrual
disorders. Stem bark used for haemorrhages, diarrhoea,
rheumatism.",Mangifera_indica_L..jpg
Manihot esculenta Crantz.,EUPHORBIACEAE,Karrapendalamu (Tel.),It is used as a source of starch and sago.,Manihot_esculenta_Crantz..jpg
Manilkara hexandra (Roxb.) Dubard,EUPHORBIACEAE,Khirni,Barks have febrifuge property.,Manilkara_hexandra_Roxb._Dubard.jpg
Manilkara kauki (L.) Dubard,SAPOTACEAE,Khirni,"Root and bark are useful in infantile diarrhoea, also givtn in beriberi. Seeds tonic and febrifuge. Wood can stand friction and used for mills, furniture, coffins, and uprights of houses.",Manilkara_kauki_L._Dubard.jpg
Marrubium vulgare L.,MARANTACEAE,Paharigandana,"It has expectorant, diuretic and laxative properties. Used in colds, coughs  and cardiac extrasystoles",Marrubium_vulgare_L..jpg
Marsdenia roylei Wight,ASCLEPIADACEAE,Murkula,The drug is used in treating gonorrhoea.,Marsdenia_roylei_Wight.jpg
Marsdenia tenacissima (Roxb.) Moon,ASCLEPIADACEAE,"Jiti, Chiti",Roots constitute the drug whit turpeth (Safed Nisoth) which is used as a purgative.,Marsdenia_tenacissima_Roxb._Moon.jpg
Marsdenia tinctoria R.Br.,ASCLEPIADACEAE,Riyong (North Bengal),Leaves are used for treatment of stomache and other disorders of alimentary canal.,Marsdenia_tinctoria_R.Br..jpg
Marsilea minuta L.,MARSILEACEAE,Susnishak (Beng.),The leaves and the stem are edible.,Marsilea_minuta_L..jpg
Matricaria chamomilla L.,ASTERACEAE,Babunphul,"It is an antispasmodic, expectorant, carminative, anthelmintic, sedative, diuretic, and attenuant. It is  used particularly in ailments of
children, such as dentition troubles stomach disorders, neuralgic pains and convulsions. It is  prescribed in constitutional debility, flatulent colic, hysteria and intermittent fevers. An infusion is used for eczema, bruises, sores, and inflammation, especially in piles.",Matricaria_chamomilla_L..jpg
Matthiola incana (L.) R.Br.,ASTERACEAE,Todri lila (Punjab.),"Seeds used as tonic, diuretic, expectorant.",Matthiola_incana_L._R.Br..jpg
Maytenus emarginata (Willd.) Ding Hou,BRASSICACEAE,Henkal (Mar.),Plant antispasmodic. Root used in gastroenteritis and dysentery.,Maytenus_emarginata_Willd._Ding_Hou.jpg
Measa chisia Ham. ex D.Don,CELASTRACEAE,Susi-poma (Assamese),Roots and barks have insecticidal properties,Measa_chisia_Ham._ex_D.Don.jpg
Measa indica (Roxb.) DC.,MYRSINACEAE,Kramighna Phal,Fruits have antihelminthic properties.,Measa_indica_Roxb._DC..jpg
Measa ramentacea Wall.,MYRSINACEAE,Seketia (Assamese),Leaf extract applied to itches and other skin infections.,Measa_ramentacea_Wall..jpg
Medicago sativa L.,FABACEAE,"Wilayti-gawuth, Lasunghas","Anticholesterolemic, rich
in essential enzymes, minerals and vitamins; a preventive of high blood pressure, diabetes, peptic ulcer.",Medicago_sativa_L..jpg
Melanorrhoea usiata Wall.,ANACARDIACEAE,Kheu (Manipur),Oleoresin which is obtained from the plant is used as anthelmintic and in leprosy.,Melanorrhoea_usiata_Wall..jpg
Melastoma malabathricum L.,MELASTOMATACEAE,Palore (Mar.),"Leaves, flowers, and fruits eaten. Fruit yields a black or purple dye; a pink dye is obtained from leaves and roots.",Melastoma_malabathricum_L..jpg
Melia azedarach L.,MELIACEAE,"Drek, Bakain","The leaves, bark, and fruits of the plant are considered of having insect-repellent properties. Leaf-juice are employed as anthelmintic, diuretic and emmenagogue. From the the tree a gum is obtained which is used in spleen enlargement, and  the infusion of bark is given in  ascariasis. Fruits  are given as tonic, in cases of severe poisoning.",Melia_azedarach_L..jpg
Melilotus alba Medik. ex Desr.,FABACEAE,Safed Senji,"Plant astringent, discutient,
emollient. Used as poultice or plaster for swellings.",Melilotus_alba_Medik._ex_Desr..jpg
Melilotus indica (L.) All.,FABACEAE,Banmethi,"Seeds used in bowel complaints
and infantile diarrhoea.",Melilotus_indica_L._All..jpg
Melilotus officinalis (L.) Medik. ex Desr.,FABACEAE,Yellow Sweetclover (Eng.),"Useful bee pasture. Carminative, emollient, and styptic; used also in the preparation of cigarettes for relief from asthma.",Melilotus_officinalis_L._Medik._ex_Desr..jpg
Melissa axillaris (Benth.) Bakh.f.,LAMIACEAE,Bililotan,"It has stomachic, antitubercular, and antipyretic properties.",Melissa_axillaris_Benth._Bakh.f..jpg
Melochia corchorifolia L.,STERCULIACEAE,Bilpat,Decoction of leaf used on dysentery.,Melochia_corchorifolia_L..jpg
Melodinus monogynus Roxb.,APOCYNACEAE,Soh-brab (Khasi Hills),Plant is used for treatment of malaria.,Melodinus_monogynus_Roxb..jpg
Melothria amplexicaulis (Lam.) Cogn.,CUCURBITACEAE,Tarali,"Roots are purgative and used in treatment of dysuria and spermatorrhoea.
Juice of the leaves are applied to part inflamed by markingout juice ( Semecarpus anacardium Linn.)",Melothria_amplexicaulis_Lam._Cogn..jpg
Melothria maderaspatana (L.) Cogn.,CUCURBITACEAE,"Agumaki, Bilari","Tender shoots and leaves are used as aperients. It is also prescribed for vertigo and biliousness.
 Roots are used to relieve from toothache.Root decoction is used in flatulence.",Melothria_maderaspatana_L._Cogn..jpg
Melothria scabra Naudin,CUCURBITACEAE,Varali (Bombay),Roots are used in treatment of diarrhea and fever.,Melothria_scabra_Naudin.jpg
Memecylon angustifolium Wight,MELASTOMATACEAE,Vellaikkaya (Tam.),Bark has tonic properties.,Memecylon_angustifolium_Wight.jpg
Memecylon umbellatum Burm.f.,MELASTOMATACEAE,Anjani (Mar.),"The leaves are useful as a cooling astringent, also used in conjunctivitis as a lotion also applied in gonorrhea and leucorrhoea. The root decoction is beneficial in excessive menstrual discharge",Memecylon_umbellatum_Burm.f..jpg
Mentha aquatica L.,LAMIACEAE,Water Mint (Eng.),"The plant is having emetic, stimulant, digestive, and astringent properties,  also employed in gall-bladder and disorders of stomach.",Mentha_aquatica_L..jpg
Mentha arvensis L.,LAMIACEAE,"Podina, Pudina",The plant is having stimulant and cauninative properties. The infusion of leaves is given as a digestive and in rheumatism.,Mentha_arvensis_L..jpg
Mentha longifolia (L.) Huds.,LAMIACEAE,"Podina, Jungli pudina","The plant is employed as antiseptic, carminative and stimulant. The decoction of the herb is used in fever and heat apoplexy.",Mentha_longifolia_L._Huds..jpg
Mentha piperita L.,LAMIACEAE,"Paparaminta, Gamathi","The plant is having carminative,  stimulant and stomachic properties, and used for relieving nausea and flatulence. In stomach-ache and colicky diarrhoea the hot infusion is given. In  cases of rheumatism neuralgia, congestive headache, and tooth-ache it is applied externally.",Mentha_piperita_L..jpg
Mentha pulegium L.,LAMIACEAE,Pudding Grass (Eng.),"The plant is having carminative,  stimulant and emmenagogue properties and is used in flatulence, nervous disorders, and gout, also used as an insect repellent.",Mentha_pulegium_L..jpg
Mentha sativa L.,LAMIACEAE,Peppermint (Eng.),The plant contains an essential oil.,Mentha_sativa_L..jpg
Mentha spicata L.,LAMIACEAE,"Pahari pudina, Pudina","The herb is employed as antispasmodic, carminative and stimulant. The sweetened infusion of the herb is prescribed for hysteria, infantile troubles and  vomiting during pregnancy.",Mentha_spicata_L..jpg
Mentha verticillata D.Don,LAMIACEAE,Whorled Mint (Eng.),Probably the source of Russian Spearmint Oil.,Mentha_verticillata_D.Don.jpg
Menyanthes trifoliata L.,MENYANTHACEAE,Bog bean (Eng.),"It is tonic, febrifuge, deobstruent and in large doses it is cathartic, emetic, and diaphoretic.
 It is used in treatment of  rheumatism, gout, dropsy, scurvy, and skin infections.",Menyanthes_trifoliata_L..jpg
Meriandra bengalensis Benth.,LAMIACEAE,Kafurkapat,"It has carminative, astringent, and anti-septic properties and leaf infusion is used as a gargle
in  mouth wash in case of sore throat.",Meriandra_bengalensis_Benth..jpg
Meriandra strobilifera Benth.,LAMIACEAE,Kafurkapat,Leaf decoction used in treating ulcers and other skin infections.,Meriandra_strobilifera_Benth..jpg
Merremia dissecta (Jacq.) Hallier f.,CONVOLVULACEAE,Noyau vine (Eng.),Seeds possess odour of oil of bitter almonds and used in the preparation of a liqueur.,Merremia_dissecta_Jacq._Hallier_f..jpg
Merremia gangetica (L.) Cufod.,CONVOLVULACEAE,Musakani,"Used in rheumatism, neuralgia and also for cough.",Merremia_gangetica_L._Cufod..jpg
Merremia tridentata (L.) Hallier f.,CONVOLVULACEAE,Prasarini (Sans.),"Used in rheumatism, hemiplegia, piles, and urinary disorders.",Merremia_tridentata_L._Hallier_f..jpg
Merremia turpethum (L.) Shah & Bhatt,CONVOLVULACEAE,"Nishothra, Terpeth root (Eng.)",It has purgative action.,Merremia_turpethum_L._Shah_&_Bhatt.jpg
Merremia umbellata (L.) Hallier f.,CONVOLVULACEAE,Sapussundu (Beng.),"Plant employed in treatment of fistulae, pustules, and tumours. Leaves pounded and applied to burns,scalds, and sores. Seeds used in treatment of cutaneous diseases.",Merremia_umbellata_L._Hallier_f..jpg
Merremia vitifolia (Burm.f.) Hallier f.,CONVOLVULACEAE,Navalicha vel (Mar.),Employed in treating stranguary and urethral discharge and has stomachic and diuretic properties.,Merremia_vitifolia_Burm.f._Hallier_f..jpg
Mesua ferrea L.,CLUSIACEAE,"Nagkesar, Nagesar (Beng.)","Seeds used for skin troubles and as an embrocation in rheumatism. Flowers applied in cough, buds  used in dysentery. Bark combined with ginger applied as sudorific.",Mesua_ferrea_L..jpg
Meyna laxiflora Robyns,RUBIACEAE,"Muyna, Muduna","Dry fruits are used for treatment of  dysentery and boils. Powdered leaves are useful in treatment of
  diphtheria.",Meyna_laxiflora_Robyns.jpg
